POA_CODE_2021,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_M,Christianity_Asyrin_Apstlic_F,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christianity_Church_Christ_M,Christianity_Church_Christ_F,Christianity_Church_Christ_P,Christianity_Eastrn_Orthdox_M,Christianity_Eastrn_Orthdox_F,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_M,Christinty_Jehvahs_Witnses_F,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_M,Christianity_Lattr_day_Snts_F,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_M,Christianity_Orintal_Orthdx_F,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_M,Christianity_Othr_Protestnt_F,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_M,Christinty_Prsbytrin_Refrmd_F,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_M,Christnty_Sevnth_dy_Advntst_F,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Othr_Rel_Aust_Abor_Trad_Rel_M,Othr_Rel_Aust_Abor_Trad_Rel_F,Othr_Rel_Aust_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Othr_Reln_Other_reln_groups_M,Othr_Reln_Other_reln_groups_F,Othr_Reln_Other_reln_groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_NR_M,SB_OSB_NRA_NR_F,SB_OSB_NRA_NR_P,SB_OSB_NRA_SB_M,SB_OSB_NRA_SB_F,SB_OSB_NRA_SB_P,SB_OSB_NRA_OSB_M,SB_OSB_NRA_OSB_F,SB_OSB_NRA_OSB_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,Tot_M,Tot_F,Tot_P
POA3385,0,0,0,25,17,46,0,0,0,3,3,4,0,0,0,43,45,89,0,0,0,4,0,3,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,3,3,3,15,10,22,0,0,0,0,0,0,28,26,53,3,0,11,0,0,0,135,113,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,104,219,0,0,0,0,0,0,118,110,218,40,29,67,290,252,541
POA3387,0,0,0,20,17,39,0,0,0,0,0,0,0,0,0,15,17,29,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,5,5,0,0,0,0,0,0,17,20,34,0,4,0,0,0,0,58,68,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,65,140,0,0,0,0,0,0,78,69,143,12,8,18,148,138,289
POA3388,3,0,5,32,33,69,0,0,0,4,0,5,0,0,0,43,45,88,0,0,0,0,0,0,0,0,0,0,0,0,6,5,12,0,0,0,0,5,5,0,0,4,5,4,3,0,5,5,0,0,0,42,48,95,4,0,3,0,0,0,137,146,286,0,3,4,9,7,14,0,0,0,0,0,0,5,0,5,0,5,5,5,5,6,122,89,208,0,0,0,0,0,0,122,88,211,28,20,46,297,271,567
POA3390,0,0,0,29,44,77,0,0,0,0,3,3,0,0,0,94,80,176,3,0,3,0,0,0,0,0,0,4,7,7,45,46,91,0,0,0,0,0,0,9,9,12,4,6,10,0,0,0,0,0,0,40,42,81,9,7,15,0,0,0,237,249,485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204,173,377,0,0,0,0,0,3,213,172,382,49,42,85,492,464,957
POA3391,0,0,0,4,4,12,0,0,0,0,0,0,0,0,0,8,16,29,3,4,9,3,0,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,4,10,9,0,0,0,0,5,5,0,0,0,10,10,18,6,6,7,0,0,0,43,48,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,32,73,0,0,0,0,0,0,37,32,73,6,11,17,90,89,181
POA3392,8,6,9,31,36,60,0,0,0,0,0,4,0,0,0,26,51,79,0,3,3,0,0,0,0,0,0,0,0,0,38,36,68,0,0,0,0,0,0,0,0,0,10,6,18,0,0,0,0,0,0,30,28,57,3,4,9,0,0,0,138,162,301,3,0,4,3,4,6,0,0,0,0,0,0,0,0,0,0,5,5,0,5,5,123,86,207,0,0,0,0,3,3,123,91,213,26,25,52,298,293,584
POA3393,4,7,13,149,157,307,0,0,0,13,15,30,0,0,0,155,165,316,0,0,0,6,5,9,0,0,0,0,0,0,87,113,201,0,0,0,4,0,5,21,25,44,20,25,49,0,0,0,0,0,0,163,162,322,19,21,45,0,0,0,625,713,1341,9,10,20,3,0,6,0,0,0,0,0,0,4,3,6,4,5,11,3,12,16,520,433,950,3,0,3,0,0,0,525,433,955,128,134,262,1308,1306,2614
POA3395,0,0,0,10,23,36,0,0,0,0,0,0,0,0,0,34,32,66,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,5,9,3,9,13,0,0,0,0,0,0,39,29,61,6,6,9,0,3,3,104,102,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,54,121,0,0,0,0,0,0,66,54,121,18,9,33,193,161,350
POA3396,0,0,5,22,45,66,0,0,0,18,9,27,0,0,0,77,66,143,0,0,0,0,0,3,0,0,0,0,0,0,16,21,34,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,44,57,94,3,6,11,0,0,0,180,209,388,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,4,4,138,112,247,0,0,0,0,0,0,138,111,251,22,21,41,341,346,694
POA3400,36,46,85,516,723,1237,0,0,0,63,58,122,0,0,0,1004,1157,2162,91,113,207,28,19,48,4,10,18,6,7,12,470,578,1045,4,4,5,13,14,28,91,100,197,89,104,192,16,28,43,9,16,24,676,925,1595,126,164,291,6,5,7,3210,4026,7235,72,77,152,42,29,73,0,6,5,0,0,0,22,20,37,14,17,31,32,34,64,3322,3126,6444,9,14,22,5,16,22,3336,3156,6490,526,497,1030,7263,7872,15134
POA3401,0,6,9,170,177,350,0,0,0,13,12,26,0,0,0,286,311,596,28,35,60,0,0,0,6,3,6,3,0,3,207,186,387,0,0,0,7,0,6,42,45,92,26,30,55,5,6,7,3,7,9,331,354,690,44,45,89,3,3,6,1179,1219,2399,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,3,5,1015,811,1828,7,3,10,3,0,3,1030,818,1843,187,152,343,2395,2201,4596
POA3407,0,0,0,22,26,51,0,0,0,0,0,0,0,0,0,34,20,52,0,0,0,0,0,0,0,0,0,0,0,0,8,4,8,0,0,0,0,0,0,0,0,0,6,10,19,0,0,0,0,0,0,11,22,35,0,0,0,0,0,0,86,84,171,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,99,201,0,0,0,0,0,0,105,99,201,15,20,38,211,207,416
POA3409,6,5,5,25,31,55,0,0,0,0,7,4,0,0,0,46,51,93,0,0,4,0,0,4,0,0,0,0,0,0,32,27,55,0,0,0,0,0,0,3,4,5,3,3,7,0,0,0,0,0,0,61,79,142,6,11,20,0,0,0,191,218,408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,9,249,233,484,4,0,3,0,0,0,252,237,484,51,37,89,497,496,987
POA3412,0,0,0,20,11,30,0,0,0,3,0,4,0,0,0,25,29,51,0,0,0,0,0,0,0,0,0,0,0,0,14,10,17,0,0,0,0,0,0,0,6,7,6,4,4,0,0,0,0,0,0,19,26,48,0,0,0,0,0,0,82,82,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,50,105,0,0,0,0,0,0,53,50,102,13,13,29,148,145,295
POA3413,0,0,0,17,16,32,0,0,0,0,0,0,0,0,0,22,21,41,0,0,0,0,0,0,0,0,0,0,0,0,6,4,9,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,15,10,25,0,0,3,0,0,0,60,51,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,32,68,0,0,0,0,0,0,35,32,68,13,12,19,108,94,196
POA3414,0,6,9,68,89,157,0,0,0,3,3,9,0,0,0,72,97,170,0,4,4,0,5,5,0,0,3,0,0,0,85,83,166,0,0,0,3,0,9,4,3,8,17,13,27,0,0,0,6,3,9,98,117,221,9,16,24,0,0,0,365,438,801,0,0,4,4,0,4,0,0,0,0,0,0,0,0,0,0,6,3,0,6,3,409,357,770,4,0,4,0,0,0,410,359,771,61,66,124,852,868,1719
POA3415,0,0,0,5,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,3,7,10,0,0,0,0,0,0,14,13,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,11,0,0,0,0,0,0,3,3,11,3,0,7,20,17,36
POA3418,36,24,64,120,140,259,0,0,0,68,59,132,0,0,0,127,162,292,8,0,9,0,0,0,3,3,6,5,0,5,133,142,271,0,0,0,3,0,6,22,26,51,21,16,40,10,13,21,4,5,10,207,241,445,52,52,106,0,0,0,774,866,1642,10,11,20,4,0,5,0,0,0,0,0,0,0,5,3,7,3,12,11,11,16,478,416,887,4,4,6,6,0,3,483,417,896,126,113,232,1442,1436,2875
POA3419,0,0,0,36,56,85,0,0,0,0,3,3,0,0,0,35,37,73,3,9,14,3,4,7,0,0,0,0,0,0,4,5,12,0,0,0,0,6,6,3,3,6,24,18,43,5,8,18,0,0,0,70,101,168,11,16,23,0,4,4,193,269,461,4,0,4,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193,170,359,0,0,0,0,0,0,193,170,359,37,32,63,425,468,891
POA3420,0,0,0,11,5,13,0,0,0,0,0,0,0,0,0,16,9,24,4,7,11,0,0,0,4,0,7,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,15,22,39,9,11,20,0,0,0,61,55,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,56,131,0,0,0,0,0,0,75,56,131,10,19,28,151,128,283
POA3423,0,0,0,27,27,61,0,0,0,5,0,5,0,0,0,14,19,32,0,0,0,0,0,0,0,0,0,0,0,4,22,28,51,0,0,0,0,0,0,0,0,0,5,6,9,4,0,3,0,0,0,23,32,49,0,0,5,0,0,0,102,116,217,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,3,0,7,106,73,180,0,3,0,0,0,0,103,77,182,25,35,61,248,226,476
POA3424,4,0,4,43,47,94,0,0,0,3,8,12,0,0,0,27,40,73,0,0,0,0,0,0,0,0,0,0,0,0,65,47,114,0,0,0,0,0,0,0,0,0,6,8,19,0,0,0,0,0,0,39,47,87,9,9,19,0,0,0,199,215,416,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,4,4,0,4,4,144,106,248,0,0,0,0,0,0,144,102,247,28,41,67,376,367,750
POA3427,39,51,91,151,168,322,8,4,13,26,25,55,0,0,0,768,786,1555,5,5,6,74,77,148,19,11,33,9,3,13,3,5,15,13,8,24,16,23,35,46,38,84,18,21,47,0,3,3,3,3,10,25,44,69,63,90,153,0,0,0,1250,1330,2582,121,124,243,55,54,106,0,0,0,0,0,0,127,125,254,6,14,20,137,137,269,1022,957,1972,13,11,21,4,9,10,1035,963,2005,212,166,368,2842,2821,5669
POA3428,3,5,8,18,20,34,0,4,4,0,3,3,0,0,0,135,121,259,0,0,0,14,12,28,0,0,0,0,0,0,0,0,0,9,8,17,0,0,5,4,4,7,4,0,5,0,0,0,0,0,0,10,10,21,8,14,19,0,0,0,210,204,414,0,5,4,12,4,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,82,167,0,3,5,0,3,8,87,83,176,29,27,54,340,323,668
POA3429,161,241,399,1440,1884,3323,0,0,0,165,204,371,89,89,181,5169,5726,10897,33,41,65,278,283,562,61,71,135,51,63,112,62,80,148,12,11,23,36,39,80,122,137,255,259,299,556,24,33,59,18,22,40,409,654,1064,370,481,857,9,11,20,8619,10132,18748,200,206,410,172,168,340,19,22,45,0,0,0,122,140,264,46,60,109,168,206,371,8574,7914,16483,55,41,102,20,30,46,8639,7988,16632,1105,1039,2147,19091,20004,39093
POA3430,0,0,0,14,12,27,0,0,0,0,0,0,0,0,0,43,41,85,0,0,0,5,0,8,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,11,4,0,4,0,0,0,0,4,3,3,6,9,0,0,0,78,72,151,0,0,0,6,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,47,116,0,0,0,0,0,0,66,47,116,16,16,37,164,143,303
POA3431,11,13,26,208,276,484,0,0,0,9,15,23,0,0,0,476,555,1029,0,0,3,11,19,33,0,0,0,0,7,3,14,22,31,0,0,0,0,0,7,5,5,10,30,31,59,0,4,0,0,0,0,61,94,156,30,33,60,0,0,0,855,1064,1914,3,0,0,18,8,22,0,0,0,0,0,0,0,0,0,0,6,9,0,3,8,1099,1058,2155,11,10,16,0,7,9,1109,1078,2187,118,122,234,2114,2280,4390
POA3432,0,0,0,10,15,26,0,0,0,0,0,0,0,0,0,24,20,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,3,0,3,4,0,0,0,42,44,83,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,42,86,0,0,0,0,0,0,43,41,79,9,7,15,91,92,185
POA3433,0,0,0,10,9,22,0,0,0,0,0,0,0,0,0,24,20,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,4,11,0,0,0,0,0,0,4,0,4,3,3,11,0,0,0,48,48,94,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,50,43,94,0,0,0,0,0,0,50,43,94,7,7,16,107,101,207
POA3434,4,9,21,298,366,661,0,0,0,12,10,20,0,0,0,667,716,1384,0,4,0,23,35,54,6,3,5,3,6,9,9,17,22,4,0,4,4,7,12,31,37,67,43,54,101,4,9,10,0,4,0,94,110,212,57,47,103,0,0,0,1254,1415,2670,0,0,0,9,14,22,5,0,5,0,0,0,5,8,13,5,5,12,15,7,20,1557,1413,2980,14,10,23,6,4,6,1577,1429,3008,203,193,394,3075,3069,6143
POA3435,10,15,27,148,194,347,0,0,0,7,8,11,0,0,0,382,390,771,0,0,3,13,11,28,0,3,3,3,5,11,3,4,8,0,0,0,9,9,12,10,10,17,25,27,53,3,4,9,0,4,3,57,70,135,22,33,51,0,0,0,678,771,1456,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,8,9,10,8,9,10,721,728,1451,4,5,9,0,0,0,730,731,1461,143,123,271,1574,1654,3228
POA3437,23,39,59,495,577,1066,0,0,0,28,38,61,0,0,0,1572,1544,3110,16,18,35,54,67,122,13,18,31,0,0,0,16,22,40,5,0,3,4,10,14,42,35,76,94,91,178,4,8,10,11,11,23,145,233,377,99,100,195,0,0,0,2598,2756,5352,21,18,35,28,29,57,4,5,10,0,0,0,24,21,40,0,11,12,25,30,53,2761,2697,5464,20,11,31,11,11,12,2787,2718,5512,317,321,638,5798,5916,11715
POA3438,4,8,11,103,155,262,0,0,0,6,7,14,0,0,0,300,301,607,4,13,14,3,0,8,4,3,8,0,0,4,3,0,9,0,0,0,0,0,0,8,11,13,21,25,50,0,0,0,0,0,0,47,56,104,23,30,48,0,0,3,536,611,1146,5,5,12,0,0,0,0,0,0,0,0,0,0,3,4,4,4,7,4,6,8,577,586,1161,10,4,16,4,3,9,592,592,1180,80,65,141,1216,1287,2509
POA3440,3,6,10,66,73,143,0,0,0,0,9,7,0,0,0,196,215,409,0,0,0,12,4,13,0,0,5,0,0,0,3,0,3,0,0,4,0,0,0,7,7,15,18,18,36,0,0,0,0,0,4,27,35,61,13,19,31,0,0,0,343,390,737,5,0,5,6,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,615,546,1161,0,0,0,0,0,0,614,546,1162,78,65,149,1056,1017,2073
POA3441,5,5,12,66,76,144,0,0,0,4,3,13,0,0,0,114,99,207,0,0,0,5,5,8,3,4,10,0,0,0,4,4,8,0,0,0,0,0,5,0,0,0,15,4,21,0,0,0,0,0,0,20,25,51,15,9,31,0,0,0,260,239,489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,429,354,785,0,3,6,5,3,9,429,362,796,83,60,141,778,669,1450
POA3442,7,24,31,368,477,844,0,0,0,26,24,49,0,0,0,799,877,1675,7,7,20,16,31,44,0,11,8,7,4,11,13,18,27,0,4,4,13,6,19,13,19,30,62,77,141,3,5,9,0,0,0,108,146,255,58,76,131,5,5,10,1500,1776,3279,15,14,29,16,13,24,9,9,17,0,0,0,0,0,0,7,13,18,7,10,22,2261,2244,4507,27,18,38,5,22,29,2294,2281,4581,320,285,613,4175,4412,8586
POA3444,37,42,85,414,508,921,0,0,0,78,93,174,72,66,134,945,1055,2005,4,6,8,46,33,77,0,4,9,5,9,16,16,13,29,0,0,0,11,9,24,10,13,24,79,86,161,6,3,4,0,3,5,154,225,382,63,82,147,4,0,6,1902,2213,4115,14,15,29,8,3,13,8,10,14,0,0,0,4,3,8,11,17,31,18,22,35,2506,2386,4892,26,25,50,0,15,19,2533,2425,4959,399,414,817,4917,5147,10066
POA3446,7,3,12,32,41,75,0,0,0,3,8,16,0,0,0,70,65,141,0,0,0,0,4,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,13,0,0,0,0,0,4,15,19,36,5,13,16,0,0,0,140,163,303,0,0,4,5,0,6,0,0,3,0,3,3,0,0,0,0,0,0,0,9,9,349,305,653,5,7,6,0,0,3,355,313,665,50,57,105,564,540,1101
POA3447,0,0,0,21,19,37,0,0,0,0,0,0,0,0,0,35,48,76,0,0,0,0,5,7,0,0,0,0,0,0,0,0,3,0,0,0,3,0,4,0,0,0,3,5,11,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,65,79,146,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,8,6,0,8,6,167,139,307,0,0,3,0,0,0,166,144,308,33,29,60,269,256,524
POA3448,3,0,7,40,48,88,0,0,0,0,7,3,0,0,0,62,74,131,0,0,0,3,4,14,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,11,0,0,0,0,0,0,25,18,46,18,15,30,0,0,0,164,172,337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,3,3,6,3,260,264,528,3,0,3,4,0,9,274,264,536,49,51,98,485,497,981
POA3450,38,56,98,225,333,552,0,0,0,13,25,39,20,16,40,273,280,551,12,10,28,6,11,18,5,10,13,0,0,0,4,9,15,0,0,0,0,6,9,18,10,30,32,58,87,9,13,20,0,0,0,107,183,291,39,63,98,5,5,8,765,1045,1808,8,15,23,7,0,6,3,9,12,0,0,0,3,3,5,16,27,39,23,33,53,2062,2210,4276,24,18,42,9,26,39,2100,2255,4358,860,363,1224,3802,3784,7588
POA3451,18,36,55,173,206,382,0,0,0,17,20,39,25,26,52,235,252,483,10,17,25,22,10,35,0,4,4,0,0,0,8,3,12,0,0,0,0,5,9,19,20,41,32,51,85,9,12,14,0,0,3,107,131,238,58,59,122,0,5,5,724,816,1544,9,4,7,7,10,11,9,13,23,0,0,4,6,6,7,25,30,54,30,35,64,1807,1768,3577,17,14,34,9,26,32,1835,1806,3639,227,247,473,2849,2970,5819
POA3453,7,3,13,78,87,159,0,0,0,7,12,15,0,0,0,81,102,189,4,3,15,10,8,14,0,0,0,0,4,4,3,0,0,0,0,0,0,0,0,3,3,5,19,17,38,0,0,0,0,0,0,51,62,116,8,18,26,0,0,0,264,318,581,0,3,5,6,0,6,3,0,3,0,0,0,0,0,0,0,3,9,0,3,9,561,501,1060,5,5,5,0,4,8,566,504,1071,81,83,163,931,920,1852
POA3458,13,22,28,97,113,222,0,0,0,0,3,7,0,0,0,176,155,330,0,0,3,7,0,11,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,11,12,23,0,0,4,4,0,7,33,54,89,23,18,33,0,3,4,365,369,737,0,3,3,3,0,3,0,0,0,0,0,0,0,0,0,0,10,10,0,10,10,678,596,1273,9,4,17,3,3,12,697,605,1298,117,130,245,1191,1138,2330
POA3460,17,32,48,120,155,277,0,0,0,8,5,14,0,0,0,184,207,389,3,0,6,14,9,21,0,0,4,0,0,0,3,11,11,0,0,0,3,5,10,5,6,9,16,31,44,6,0,11,0,0,4,25,39,62,8,19,26,0,0,3,392,502,889,27,20,44,0,3,6,3,6,11,0,0,0,3,3,9,15,14,27,20,17,34,684,779,1460,0,6,11,12,16,19,695,801,1495,124,150,278,1279,1525,2799
POA3461,33,42,75,181,186,367,0,0,0,15,15,26,0,0,0,330,363,689,5,3,6,29,24,57,3,8,16,0,0,0,3,4,9,0,0,0,4,4,6,6,3,7,24,30,55,0,3,3,0,0,0,64,60,124,45,32,77,0,0,3,705,740,1444,6,4,7,9,3,9,4,4,5,0,0,0,0,0,0,6,16,30,6,19,30,1309,1222,2529,19,11,29,5,6,9,1330,1236,2570,228,242,472,2317,2294,4614
POA3462,9,3,14,59,69,124,0,0,0,4,3,4,0,0,0,53,51,104,0,0,0,4,3,5,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,5,0,4,11,3,15,0,0,0,0,0,0,16,12,34,6,6,14,0,0,0,158,154,312,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,3,12,5,3,12,401,358,755,3,5,4,0,0,0,408,363,769,65,63,125,643,590,1230
POA3463,16,14,32,120,154,271,0,0,0,31,30,61,0,0,0,162,167,325,0,8,8,4,0,6,0,0,0,0,0,6,3,5,7,0,0,0,3,7,10,9,6,14,13,12,29,4,8,13,0,5,4,44,49,94,23,28,48,5,0,6,425,479,903,3,6,7,0,0,5,3,3,7,0,0,0,0,0,0,5,3,7,5,3,7,722,678,1399,7,7,11,0,4,9,730,686,1414,100,121,220,1276,1317,2588
POA3464,3,0,3,102,89,195,0,0,0,0,3,4,0,0,0,85,94,179,3,0,0,5,0,9,0,0,3,3,0,5,0,3,5,0,0,0,0,0,0,0,3,7,27,18,47,0,0,0,0,0,0,32,50,79,0,4,12,0,0,0,272,272,537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,286,275,559,0,0,0,0,3,3,289,276,561,45,39,79,608,585,1192
POA3465,20,31,52,682,867,1551,0,0,0,35,28,65,0,0,0,745,865,1607,17,27,48,22,26,50,16,28,46,0,0,0,16,20,32,0,0,0,13,14,26,22,26,48,119,128,243,27,34,62,12,11,18,273,327,604,69,98,163,3,0,3,2059,2508,4565,23,19,40,8,0,11,0,3,3,0,0,0,12,9,17,18,26,44,30,36,65,2298,2151,4455,9,8,18,9,14,29,2325,2175,4500,454,416,869,4917,5194,10111
POA3467,5,4,9,112,101,216,0,0,0,4,4,7,0,0,0,87,79,168,3,0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,12,9,20,5,3,6,0,0,0,54,67,125,9,5,13,0,0,0,292,277,574,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,6,0,7,311,310,624,0,0,0,0,0,0,314,310,628,81,67,144,694,664,1356
POA3468,0,0,0,21,26,44,0,0,0,0,0,0,0,0,0,26,18,47,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,7,0,0,0,0,0,0,8,10,19,0,0,0,0,0,0,64,62,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,56,108,0,0,0,0,0,0,53,56,106,16,11,28,133,137,267
POA3469,0,0,0,19,18,41,0,0,0,0,0,0,0,0,0,17,12,24,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,7,0,0,0,0,0,0,12,8,18,0,0,0,0,0,0,50,46,95,0,0,0,4,0,0,0,4,9,0,0,0,0,0,0,0,0,0,0,0,0,49,49,101,0,0,0,0,0,0,53,49,102,33,27,63,141,127,269
POA3472,5,6,12,114,110,223,0,0,0,4,5,12,0,0,0,88,87,175,3,3,4,4,3,4,4,3,3,0,0,0,3,9,6,0,0,0,0,0,4,3,6,7,13,18,37,5,4,3,0,0,0,38,48,90,17,26,41,0,0,0,304,320,617,3,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,8,9,0,12,7,360,331,688,9,0,8,0,3,3,367,335,703,80,71,153,756,744,1492
POA3475,5,3,7,29,29,57,0,0,0,0,3,4,0,0,0,17,15,33,4,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,9,10,13,0,0,0,0,0,0,8,16,23,5,0,4,0,0,0,74,70,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,6,6,96,67,162,0,0,0,0,0,0,96,67,162,31,25,52,203,168,373
POA3477,0,0,0,52,44,103,0,0,0,0,0,0,0,0,0,52,61,114,0,0,4,0,0,6,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,4,4,5,6,3,6,0,0,0,0,0,0,64,49,115,8,14,20,0,0,0,195,188,385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193,154,345,0,0,3,0,0,0,197,158,348,47,39,81,439,386,817
POA3478,3,3,9,140,196,339,0,0,0,12,12,23,0,0,0,271,293,557,7,10,15,5,0,6,9,14,28,0,5,4,0,8,5,0,0,0,6,0,6,3,5,7,17,14,33,3,7,8,0,4,3,123,153,272,19,23,35,0,6,5,611,738,1355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,517,449,968,0,0,3,0,0,8,521,455,973,114,120,238,1260,1328,2584
POA3480,7,11,18,74,88,162,0,0,0,15,21,35,0,0,0,183,176,356,0,0,0,0,4,5,0,0,0,0,0,3,5,7,10,0,0,0,0,0,0,5,0,11,11,21,34,0,0,7,0,0,0,120,153,277,27,28,59,0,0,0,448,507,950,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,7,0,5,7,0,5,366,288,659,6,0,7,0,3,3,368,299,669,86,72,155,923,882,1805
